 0.89745E+39 0.00000E+00 0.11093E+40  2040000      153    8        2 0.223E-38 0.15479E+32  0.89745E+39
   6    0.37400E+40    0.36408E+40    0.49255E+03    0.93195E+45    0.37400E+40
   7    0.59679E+39    0.34428E+39    0.41279E+03    0.16480E+45    0.59679E+39
   8    0.25361E+39    0.14056E+39    0.56084E+03    0.13586E+45    0.25361E+39
