 0.43368E-06 0.36421E-07 0.00000E+00    31001      911    5       19 0.438E+08 0.26006E-11  0.43368E-06
   3    0.58274E-06    0.15074E-06    0.16360E+02    0.42584E-03    0.58274E-06
   4    0.41624E-06    0.84974E-07    0.18259E+02    0.60316E-03    0.41624E-06
   5    0.41609E-06    0.41029E-07    0.12473E+02    0.49812E-03    0.41609E-06
