 0.24153E+10 0.55942E+07 0.00000E+00   254001    18491    7    18486 0.765E-05 0.10486E+04  0.24153E+10
   5    0.24294E+10    0.15135E+08    0.11144E+01    0.43301E+11    0.24294E+10
   6    0.24071E+10    0.10439E+08    0.10971E+01    0.55598E+11    0.24071E+10
   7    0.24160E+10    0.73697E+07    0.10914E+01    0.69104E+11    0.24160E+10
