 0.94015E-07 0.57438E-07 0.00000E+00    31001      730    5        8 0.851E+08 0.73648E-12  0.94015E-07
   3    0.37702E-07    0.77819E-08    0.13054E+02    0.17053E-04    0.37702E-07
   4    0.15355E-06    0.79912E-07    0.46548E+02    0.62897E-03    0.15355E-06
   5    0.11784E-06    0.17325E-07    0.18598E+02    0.25170E-03    0.11784E-06
