 0.12387E-06 0.33497E-07 0.00000E+00    31001     1321    5        6 0.484E+08 0.10768E-11  0.12387E-06
   3    0.14859E-06    0.68364E-07    0.29099E+02    0.21554E-03    0.14859E-06
   4    0.84549E-07    0.16637E-07    0.17600E+02    0.11335E-03    0.84549E-07
   5    0.17228E-06    0.39984E-07    0.29356E+02    0.61614E-03    0.17228E-06
