 0.10722E-06 0.38446E-07 0.00000E+00    31001     1172    5        8 0.746E+08 0.92580E-12  0.10722E-06
   3    0.58336E-07    0.92662E-08    0.10046E+02    0.20077E-04    0.58336E-07
   4    0.10911E-06    0.18062E-07    0.14806E+02    0.10891E-03    0.10911E-06
   5    0.14813E-06    0.21920E-07    0.18718E+02    0.28219E-03    0.14813E-06
