 0.36966E+34 0.16720E+34 0.00000E+00    30001       50    4        2 0.541E-33 0.12486E+29  0.36966E+34
   2    0.42775E+34    0.39924E+34    0.59029E+02    0.15937E+38    0.42775E+34
   3    0.33379E+34    0.31465E+34    0.84313E+02    0.25160E+38    0.33379E+34
   4    0.35959E+34    0.22239E+34    0.78231E+02    0.33575E+38    0.35959E+34
