 0.14674E+08 0.43127E+05 0.00000E+00    30001     1683    4     1679 0.114E-03 0.51072E+02  0.14674E+08
   2    0.14649E+08    0.14151E+06    0.61096E+00    0.24181E+08    0.14649E+08
   3    0.14561E+08    0.62595E+05    0.38449E+00    0.83485E+08    0.14561E+08
   4    0.14709E+08    0.34252E+05    0.29455E+00    0.25360E+08    0.14709E+08
