 0.11169E+09 0.00000E+00 0.52401E+07  2040000    53261    8       32 0.287E-06 0.66765E+01  0.11169E+09
   6    0.15206E+09    0.19451E+08    0.64720E+02    0.30014E+13    0.15206E+09
   7    0.10913E+09    0.56412E+07    0.36986E+02    0.21747E+13    0.10913E+09
   8    0.10939E+09    0.42712E+07    0.39512E+02    0.35504E+13    0.10939E+09
