 0.24243E+10 0.57078E+07 0.00000E+00   254001    18599    7    18594 0.767E-05 0.10522E+04  0.24243E+10
   5    0.24265E+10    0.15241E+08    0.11236E+01    0.69376E+11    0.24265E+10
   6    0.24236E+10    0.10776E+08    0.11248E+01    0.99823E+11    0.24236E+10
   7    0.24242E+10    0.75000E+07    0.11069E+01    0.87543E+11    0.24242E+10
