 0.94392E+54 0.00000E+00 0.39951E+54  2040000       59    8        2 0.212E-53 0.65271E+47  0.94392E+54
   6    0.56068E+54    0.48929E+54    0.44154E+03    0.12462E+60    0.56068E+54
   7    0.10381E+55    0.10184E+55    0.70193E+03    0.52137E+60    0.10381E+55
   8    0.10694E+55    0.59502E+54    0.56304E+03    0.50330E+60    0.10694E+55
