 0.30174E+11 0.73870E+08 0.00000E+00    30001     1581    4     1576 0.522E-07 0.10480E+06  0.30174E+11
   2    0.29814E+11    0.39714E+09    0.84247E+00    0.10297E+12    0.29814E+11
   3    0.30202E+11    0.17575E+09    0.52049E+00    0.70993E+11    0.30202E+11
   4    0.30183E+11    0.83176E+08    0.34858E+00    0.52264E+11    0.30183E+11
