 0.35853E-27 0.48823E-28 0.00000E+00    31001     1075    5       14 0.390E+29 0.24353E-32  0.35853E-27
   3    0.23996E-27    0.93756E-28    0.24711E+02    0.30932E-24    0.23996E-27
   4    0.27918E-27    0.67638E-28    0.21670E+02    0.48662E-24    0.27918E-27
   5    0.38965E-27    0.47111E-28    0.15294E+02    0.44381E-24    0.38965E-27
