 0.24086E+10 0.18285E+08 0.00000E+00    30001     2076    4     2072 0.860E-06 0.83953E+04  0.24086E+10
   2    0.24046E+10    0.68086E+08    0.17908E+01    0.43846E+11    0.24046E+10
   3    0.23851E+10    0.35981E+08    0.13493E+01    0.27367E+11    0.23851E+10
   4    0.24178E+10    0.22343E+08    0.11689E+01    0.26115E+11    0.24178E+10
