 0.26821E-27 0.27891E-28 0.00000E+00    31001      910    5       10 0.373E+29 0.18887E-32  0.26821E-27
   3    0.22283E-27    0.88152E-28    0.25020E+02    0.34333E-24    0.22283E-27
   4    0.22807E-27    0.35986E-28    0.14113E+02    0.15935E-24    0.22807E-27
   5    0.30220E-27    0.40398E-28    0.16909E+02    0.38917E-24    0.30220E-27
