 0.24060E+10 0.18335E+08 0.00000E+00    30001     2076    4     2072 0.861E-06 0.83487E+04  0.24060E+10
   2    0.24467E+10    0.70912E+08    0.18330E+01    0.46554E+11    0.24467E+10
   3    0.23993E+10    0.35904E+08    0.13384E+01    0.28896E+11    0.23993E+10
   4    0.24044E+10    0.22359E+08    0.11763E+01    0.19108E+11    0.24044E+10
