 0.17342E+10 0.34600E+07 0.00000E+00   254001    17294    7    17290 0.997E-05 0.75234E+03  0.17342E+10
   5    0.17455E+10    0.87076E+07    0.89239E+00    0.17266E+11    0.17455E+10
   6    0.17300E+10    0.60867E+07    0.89009E+00    0.36152E+11    0.17300E+10
   7    0.17334E+10    0.44046E+07    0.90911E+00    0.98400E+11    0.17334E+10
