 0.41621E+08 0.10834E+06 0.00000E+00   510001    25466    8     9507 0.228E-03 0.90460E+01  0.41621E+08
   6    0.41835E+08    0.30650E+06    0.18534E+01    0.40429E+10    0.41835E+08
   7    0.41382E+08    0.20354E+06    0.17597E+01    0.54240E+10    0.41382E+08
   8    0.41684E+08    0.13640E+06    0.16556E+01    0.47549E+10    0.41684E+08
