 0.49694E+08 0.28956E+06 0.00000E+00   254001    12219    7     2644 0.532E-04 0.21587E+02  0.49694E+08
   5    0.48813E+08    0.64107E+06    0.23493E+01    0.78852E+10    0.48813E+08
   6    0.50236E+08    0.58849E+06    0.29635E+01    0.16540E+11    0.50236E+08
   7    0.49736E+08    0.29999E+06    0.21579E+01    0.11068E+11    0.49736E+08
