 0.24149E+10 0.18364E+08 0.00000E+00    30001     2054    4     2049 0.848E-06 0.83655E+04  0.24149E+10
   2    0.24163E+10    0.68991E+08    0.18058E+01    0.57853E+11    0.24163E+10
   3    0.24291E+10    0.36271E+08    0.13355E+01    0.25895E+11    0.24291E+10
   4    0.24093E+10    0.22388E+08    0.11754E+01    0.21391E+11    0.24093E+10
