 0.30278E+11 0.64261E+07 0.00000E+00   510001    25633    8    25628 0.846E-06 0.65714E+04  0.30278E+11
   6    0.30283E+11    0.21632E+08    0.18071E+00    0.38381E+11    0.30283E+11
   7    0.30269E+11    0.12669E+08    0.14974E+00    0.66451E+11    0.30269E+11
   8    0.30281E+11    0.79434E+07    0.13273E+00    0.96509E+11    0.30281E+11
