 0.26732E+36 0.11137E+36 0.00000E+00    14001       49    3        1 0.374E-35 0.21270E+31  0.26732E+36
   1    0.23054E+36    0.16067E+36    0.31168E+02    0.29832E+39    0.23054E+36
   2    0.26710E+36    0.20191E+36    0.47810E+02    0.78519E+39    0.26710E+36
   3    0.30629E+36    0.21920E+36    0.64010E+02    0.17350E+40    0.30629E+36
